,Company Names,Tickers
1222,Reliance Power Limited,RPOWER.NS
1223,R.P.P. Infra Projects Limited,RPPINFRA.NS
1224,R. S. Software (India) Limited,RSSOFTWARE.NS
1225,RSWM Limited,RSWM.NS
1226,R Systems International Limited,RSYSTEMS.NS
1227,RattanIndia Infrastructure Limited,RTNINFRA.NS
1228,RattanIndia Power Limited,RTNPOWER.NS
1229,The Ruby Mills Limited,RUBYMILLS.NS
1230,Ruchi Infrastructure Limited,RUCHINFRA.NS
1231,Ruchira Papers Limited,RUCHIRA.NS
1232,Ruchi Soya Industries Limited,RUCHISOYA.NS
1233,Rupa & Company Limited,RUPA.NS
1234,Rushil Decor Limited,RUSHIL.NS
1235,Rail Vikas Nigam Limited,RVNL.NS
1236,Sab Events & Governance Now Media Limited,SABEVENTS.NS
1237,Sri Adhikari Brothers Television Network Limited,SABTN.NS
1238,Sadbhav Engineering Limited,SADBHAV.NS
1239,Sadbhav Infrastructure Project Limited,SADBHIN.NS
1240,Safari Industries (India) Limited,SAFARI.NS
1241,Sagardeep Alloys Limited,SAGARDEEP.NS
1242,Sagar Cements Limited,SAGCEM.NS
1243,Steel Authority of India Limited,SAIL.NS
1244,Sakar Healthcare Limited,SAKAR.NS
1245,Sakthi Sugars Limited,SAKHTISUG.NS
1246,Saksoft Limited,SAKSOFT.NS
1247,Sakuma Exports Limited,SAKUMA.NS
1248,Salasar Techno Engineering Limited,SALASAR.NS
1249,Salona Cotspin Limited,SALONA.NS
1250,S.A.L. Steel Limited,SALSTEEL.NS
1251,Salzer Electronics Limited,SALZERELEC.NS
1252,Sambhaav Media Limited,SAMBHAAV.NS
1253,Sanco Industries Limited,SANCO.NS
1254,The Sandesh Limited,SANDESH.NS
1255,Sandhar Technologies Limited,SANDHAR.NS
1256,Sangam (India) Limited,SANGAMIND.NS
1257,Sanghi Industries Limited,SANGHIIND.NS
1258,Sanghvi Forging and Engineering Limited,SANGHVIFOR.NS
1259,Sanghvi Movers Limited,SANGHVIMOV.NS
1260,Sanginita Chemicals Limited,SANGINITA.NS
1261,Sanofi India Limited,SANOFI.NS
1262,Sanwaria Consumer Limited,SANWARIA.NS
1263,Sarda Energy & Minerals Limited,SARDAEN.NS
1264,Saregama India Limited,SAREGAMA.NS
1265,Sarla Performance Fibers Limited,SARLAPOLY.NS
1266,Sasken Technologies Limited,SASKEN.NS
1267,Sastasundar Ventures Limited,SASTASUNDR.NS
1268,Sathavahana Ispat Limited,SATHAISPAT.NS
1269,Satia Industries Limited,SATIA.NS
1270,Satin Creditcare Network Limited,SATIN.NS
1271,SBI Life Insurance Company Limited,SBILIFE.NS
1272,State Bank of India,SBIN.NS
1273,Stampede Capital Limited,SCAPDVR.NS
1274,Schaeffler India Limited,SCHAEFFLER.NS
1275,S Chand And Company Limited,SCHAND.NS
1276,Schneider Electric Infrastructure Limited,SCHNEIDER.NS
1277,Shipping Corporation Of India Limited,SCI.NS
1278,Som Distilleries & Breweries Limited,SDBL.NS
1279,Seamec Limited,SEAMECLTD.NS
1280,Selan Exploration Technology Limited,SELAN.NS
1281,SEL Manufacturing Company Limited,SELMCL.NS
1282,S.E. Power Limited,SEPOWER.NS
1283,Sequent Scientific Limited,SEQUENT.NS
1284,Seshasayee Paper and Boards Limited,SESHAPAPER.NS
1285,Setco Automotive Limited,SETCO.NS
1286,Setubandhan Infrastructure Limited,SETUINFRA.NS
1287,Seya Industries Limited,SEYAIND.NS
1288,Sezal Glass Limited,SEZAL.NS
1289,Sheela Foam Limited,SFL.NS
1290,STL Global Limited,SGL.NS
1291,Shah Alloys Limited,SHAHALLOYS.NS
1292,Shakti Pumps (India) Limited,SHAKTIPUMP.NS
1293,Shalby Limited,SHALBY.NS
1294,Shalimar Paints Limited,SHALPAINTS.NS
1295,Shankara Building Products Limited,SHANKARA.NS
1296,Shanthi Gears Limited,SHANTIGEAR.NS
